,Unnamed: 0,country,gdp,fossil_share_energy,renewables_share_energy,low_carbon_share_energy,nuclear_share_energy,population,energy_per_capita,primary_energy_consumption
1187,13747,Saudi Arabia,578000000000.0,100.0,0.0,0.0,0.0,23133000.0,73595.039,1702.474
1188,13748,Saudi Arabia,702000000000.0,100.0,0.0,0.0,0.0,23816000.0,76188.749,1814.511
1189,13749,Saudi Arabia,794000000000.0,100.0,0.0,0.0,0.0,24498000.0,76898.453,1883.858
1190,13750,Saudi Arabia,858000000000.0,100.0,0.0,0.0,0.0,25185000.0,78054.698,1965.808
1191,13751,Saudi Arabia,1050000000000.0,100.0,0.0,0.0,0.0,25889000.0,82802.391,2143.671
1192,13752,Saudi Arabia,932000000000.0,100.0,0.0,0.0,0.0,26630000.0,84842.675,2259.36
1193,13753,Saudi Arabia,1090000000000.0,100.0,0.0,0.0,0.0,27421000.0,90324.528,2476.789
1194,13754,Saudi Arabia,1370000000000.0,99.999,0.001,0.001,0.0,28268000.0,90446.444,2556.74
1195,13755,Saudi Arabia,1450000000000.0,99.998,0.002,0.002,0.0,29155000.0,92969.021,2710.512
1196,13756,Saudi Arabia,1430000000000.0,99.996,0.004,0.004,0.0,30052000.0,90566.168,2721.694
1197,13757,Saudi Arabia,1420000000000.0,99.996,0.004,0.004,0.0,30917000.0,94361.321,2917.369
1198,13758,Saudi Arabia,1480000000000.0,99.989,0.011,0.011,0.0,31718000.0,94882.544,3009.485
1199,13759,Saudi Arabia,1500000000000.0,99.989,0.011,0.011,0.0,32443000.0,93983.678,3049.112
1200,13760,Saudi Arabia,,99.987,0.013,0.013,0.0,33101000.0,92361.458,3057.257
1201,13761,Saudi Arabia,,99.969,0.031,0.031,0.0,33703000.0,89905.309,3030.079
1202,13762,Saudi Arabia,,99.856,0.144,0.144,0.0,34269000.0,89451.938,3065.428
1203,13947,Singapore,160000000000.0,99.846,0.154,0.154,0.0,4029000.0,109931.312,442.913
